,Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9687,3550011,1316659,G008426,01/04/2001 08:56:00 PM,021XX W 18 ST,0560,ASSAULT,SIMPLE,STREET,False,False,1223,12.0,,,08A,1162186.0,1891421.0,2001,08/17/2015 03:03:40 PM,41.857722622,-87.680160755,"(41.857722622, -87.680160755)"
9688,3550012,1316597,G008414,01/04/2001 08:26:22 PM,087XX S BURLEY AV,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,False,False,424,4.0,,,04B,1199140.0,1847867.0,2001,08/17/2015 03:03:40 PM,41.737356949,-87.545984538,"(41.737356949, -87.545984538)"
9689,3550013,1316599,G008841,01/04/2001 10:00:00 PM,054XX W HENDERSON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1633,16.0,,,07,1139366.0,1921776.0,2001,08/17/2015 03:03:40 PM,41.941466231,-87.763184285,"(41.941466231, -87.763184285)"
9690,3550014,1316600,G008702,01/04/2001 11:00:00 PM,034XX N SPRINGFIELD AV,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,STREET,True,True,1732,17.0,,,26,1149752.0,1922353.0,2001,08/17/2015 03:03:40 PM,41.942853661,-87.724996153,"(41.942853661, -87.724996153)"
9691,3550015,1316601,G004929,01/03/2001 10:15:00 AM,008XX S ADA ST,041A,BATTERY,AGGRAVATED: HANDGUN,CHA PARKING LOT/GROUNDS,False,False,1213,12.0,,,04B,1167639.0,1896220.0,2001,08/17/2015 03:03:40 PM,41.870775902,-87.660006882,"(41.870775902, -87.660006882)"
9692,3550016,1316602,G008829,01/04/2001 07:10:00 PM,081XX S VERNON AV,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,False,False,631,6.0,,,07,1180627.0,1850823.0,2001,08/17/2015 03:03:40 PM,41.745913304,-87.613719507,"(41.745913304, -87.613719507)"
9693,3550017,1316604,G008476,01/04/2001 09:43:51 PM,028XX E 76 PL,0460,BATTERY,SIMPLE,RESIDENCE,False,True,421,4.0,,,08B,1196213.0,1855022.0,2001,08/17/2015 03:03:40 PM,41.7570638,-87.556471329,"(41.7570638, -87.556471329)"
9694,3550018,1316605,G008798,01/04/2001 11:00:00 AM,032XX N TROY ST,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,STREET,False,False,1733,17.0,,,26,1154845.0,1921530.0,2001,08/17/2015 03:03:40 PM,41.940494581,-87.70629896,"(41.940494581, -87.70629896)"
9695,3550019,1316606,G008458,01/04/2001 08:00:00 PM,015XX W ROOSEVELT RD,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,GROCERY FOOD STORE,False,False,1231,12.0,,,04B,1166286.0,1894743.0,2001,08/17/2015 03:03:40 PM,41.866751906,-87.665016413,"(41.866751906, -87.665016413)"
9696,3550020,1316608,G008611,01/04/2001 10:50:48 PM,078XX S ESSEX AV,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,421,4.0,,,14,1194175.0,1853638.0,2001,08/17/2015 03:03:40 PM,41.753316255,-87.563985474,"(41.753316255, -87.563985474)"
